h,latitude,longitude,frp,confidence,daynight
2025-12-25 11:23:00,25.16043,96.40253,3.26,n,D
2025-12-25 11:23:00,25.21578,97.47425,2.32,n,D
2025-12-25 11:24:00,28.67631,96.13103,17.59,n,D
2025-12-25 11:24:00,28.67767,96.13627,29.19,h,D
2025-12-25 11:24:00,28.68536,96.14099,29.19,n,D
2025-12-25 13:00:00,9.91686,78.31117,2.85,n,D
2025-12-25 13:00:00,9.9195,78.31189,8.41,h,D
2025-12-25 13:00:00,9.92248,78.31013,2.85,n,D
2025-12-25 13:00:00,10.30923,77.88446,2.24,n,D
2025-12-25 13:00:00,10.91369,79.36871,1.4,n,D
2025-12-25 13:01:00,11.67246,77.84374,4.56,n,D
2025-12-25 13:01:00,11.67484,77.8436,4.63,n,D
2025-12-25 13:01:00,12.4615,77.26254,4.62,n,D
2025-12-25 13:01:00,12.46738,77.26214,2.49,n,D
2025-12-25 13:01:00,12.66954,76.9589,5.65,n,D
2025-12-25 13:01:00,12.67101,76.95828,10.16,n,D
2025-12-25 13:01:00,12.67534,76.95766,5.65,n,D
2025-12-25 13:01:00,12.93192,75.943,3.18,n,D
2025-12-25 13:01:00,13.27873,76.18769,3.02,n,D
2025-12-25 13:01:00,13.68588,77.51221,1.59,n,D
2025-12-25 13:01:00,13.89371,76.63548,3.31,n,D
2025-12-25 13:01:00,13.90652,78.32613,2.75,n,D
2025-12-25 13:01:00,14.17048,75.8114,2.13,n,D
2025-12-25 13:01:00,14.21801,75.52689,6.68,n,D
2025-12-25 13:01:00,14.22012,75.52997,5.06,n,D
2025-12-25 13:01:00,14.2999,77.39809,5.23,n,D
2025-12-25 13:01:00,14.30538,77.39691,1.7,n,D
2025-12-25 13:01:00,14.36265,76.91175,3.72,n,D
2025-12-25 13:01:00,14.43828,78.17082,2.67,n,D
2025-12-25 13:01:00,14.43932,78.17233,3.59,n,D
2025-12-25 13:01:00,14.62795,77.8712,2.02,n,D
2025-12-25 13:01:00,16.41636,96.1151,2.45,n,D
2025-12-25 13:01:00,16.41669,95.37643,2.31,n,D
2025-12-25 13:01:00,16.41704,95.37945,2.31,n,D
2025-12-25 13:01:00,16.50496,95.13592,6.46,n,D
2025-12-25 13:01:00,16.56494,96.32413,2.89,n,D
2025-12-25 13:01:00,16.57071,96.32705,9.74,n,D
2025-12-25 13:01:00,16.59907,95.15829,3.23,n,D
2025-12-25 13:01:00,16.62757,96.11927,2.38,n,D
2025-12-25 13:01:00,16.74814,94.86654,4.02,n,D
2025-12-25 13:01:00,16.75534,94.8428,5.36,n,D
2025-12-25 13:01:00,16.76548,94.88741,4.79,n,D
2025-12-25 13:01:00,16.81764,94.99136,8.97,n,D
2025-12-25 13:01:00,16.81832,94.99712,13.51,n,D
2025-12-25 13:01:00,16.81885,94.99587,24.73,n,D
2025-12-25 13:01:00,16.94025,95.8716,4.37,n,D
2025-12-25 13:01:00,16.95346,95.94463,3.94,n,D
2025-12-25 13:01:00,17.04005,96.60243,3.01,n,D
2025-12-25 13:01:00,17.05181,96.20145,3.97,n,D
2025-12-25 13:01:00,17.0913,96.35907,5.02,n,D
2025-12-25 13:01:00,17.09307,96.3615,4.75,n,D
2025-12-25 13:01:00,17.21592,95.86701,3.16,n,D
2025-12-25 13:01:00,17.2302,95.05235,4.57,n,D
2025-12-25 13:02:00,14.79182,75.75212,3.25,n,D
2025-12-25 13:02:00,14.7924,75.75307,3.41,n,D
2025-12-25 13:02:00,15.0175,77.25854,1.82,n,D
2025-12-25 13:02:00,15.18247,76.66614,2.91,n,D
2025-12-25 13:02:00,15.18642,77.39217,3.92,n,D
2025-12-25 13:02:00,15.28818,79.41051,3.08,n,D
2025-12-25 13:02:00,15.32255,76.96882,3.89,n,D
2025-12-25 13:02:00,15.33117,76.98277,3.9,n,D
2025-12-25 13:02:00,15.33193,76.98656,4.25,n,D
2025-12-25 13:02:00,15.5032,76.65178,3.83,n,D
2025-12-25 13:02:00,15.55929,76.70992,2.59,n,D
2025-12-25 13:02:00,15.57457,76.72723,4.7,n,D
2025-12-25 13:02:00,15.59183,77.22945,2.35,n,D
2025-12-25 13:02:00,15.62756,77.57048,1.73,n,D
2025-12-25 13:02:00,15.77217,77.82923,1.26,n,D
2025-12-25 13:02:00,15.79787,76.36027,1.22,n,D
2025-12-25 13:02:00,15.84061,76.68564,3.92,n,D
2025-12-25 13:02:00,15.98423,76.77679,8.69,h,D
2025-12-25 13:02:00,15.98855,76.77548,16.33,h,D
